DayOfWeek,Promo,StateHoliday,SchoolHoliday,Year,Month,Day,WeekOfYear,AvgSales,SonnenStunden
1,1,0,0,2013,1,7,2,5875.0,12.0
4,1,0,1,2013,8,1,31,5934.0,12.0
3,0,0,1,2013,8,21,34,5934.0,8.0
6,0,0,0,2014,1,11,2,5878.0,5.0
4,0,0,0,2015,3,26,13,6376.0,7.0
1,1,0,0,2014,11,3,45,7086.0,12.0
2,0,0,0,2014,9,9,37,6185.0,9.0
6,0,0,0,2014,6,7,23,6388.0,5.0
4,1,0,1,2014,2,20,8,5929.0,12.0
5,1,0,1,2014,8,1,31,5805.0,12.0
2,1,0,0,2013,6,4,23,5694.0,12.0
3,0,0,0,2015,3,11,11,6376.0,9.0
6,0,0,0,2015,2,28,9,5971.0,5.0
5,1,0,0,2015,1,9,2,6276.0,10.0
3,1,0,0,2013,1,9,2,5875.0,12.0
2,0,0,0,2013,11,26,48,6323.0,10.0
6,0,0,0,2015,6,6,23,6322.0,4.0
4,0,0,0,2015,3,12,11,6376.0,8.0
4,0,0,0,2014,3,27,13,5916.0,8.0
4,1,0,0,2014,5,8,19,5854.0,12.0
5,0,0,0,2013,12,13,50,8522.0,8.0
4,1,0,0,2014,11,13,46,7086.0,10.0
4,0,0,0,2014,9,25,39,6185.0,8.0
4,1,0,0,2014,10,23,43,6345.0,12.0
2,0,0,0,2014,9,23,39,6185.0,9.0
1,1,0,0,2014,5,5,19,5854.0,12.0
5,0,0,1,2014,5,30,22,5854.0,12.0
6,0,0,0,2014,2,1,5,5929.0,5.0
1,1,0,0,2013,8,26,35,5934.0,12.0
2,1,0,0,2013,2,5,6,5987.0,12.0
3,0,0,0,2013,2,27,9,5987.0,8.0
3,1,0,0,2014,5,21,21,5854.0,11.0
5,1,0,0,2014,9,19,38,6185.0,11.0
5,1,0,0,2015,2,20,8,5971.0,11.0
4,0,0,0,2013,7,11,28,6661.0,9.0
5,0,0,0,2014,3,14,11,5916.0,9.0
6,0,0,0,2013,5,18,20,6305.0,3.0
5,0,0,1,2015,1,2,1,6276.0,10.0
4,1,0,0,2013,5,16,20,6305.0,11.0
4,1,0,0,2013,4,25,17,6161.0,10.0
4,0,0,0,2013,6,27,26,5694.0,10.0
2,0,0,0,2013,6,11,24,5694.0,9.0
3,1,0,0,2014,10,1,40,6345.0,12.0
4,0,0,1,2015,4,9,15,6561.0,8.0
6,0,0,0,2013,10,5,40,6190.0,4.0
1,1,0,1,2014,7,28,31,6089.0,12.0
6,0,0,0,2013,2,16,7,5987.0,4.0
5,0,0,0,2015,4,24,17,6561.0,7.0
5,1,0,1,2013,10,25,43,6190.0,10.0
6,0,0,0,2013,12,7,49,8522.0,5.0
5,1,0,0,2015,3,20,12,6376.0,11.0
5,1,0,0,2013,4,26,17,6161.0,10.0
3,0,0,0,2013,3,13,11,6948.0,7.0
1,0,0,0,2014,5,12,20,5854.0,9.0
6,0,0,0,2015,6,13,24,6322.0,4.0
3,1,0,0,2014,6,4,23,6388.0,12.0
4,1,0,0,2013,1,24,4,5875.0,12.0
3,0,0,0,2015,3,25,13,6376.0,8.0
6,0,0,0,2015,2,14,7,5971.0,5.0
5,1,0,0,2013,5,31,22,6305.0,12.0
5,1,0,1,2015,7,17,29,6082.0,10.0
3,1,0,0,2013,11,20,47,6323.0,11.0
3,1,0,0,2015,6,17,25,6322.0,12.0
2,1,0,1,2015,3,31,14,6376.0,12.0
6,0,0,0,2014,7,12,28,6089.0,5.0
2,0,0,0,2015,4,21,17,6561.0,8.0
6,0,0,0,2014,1,18,3,5878.0,4.0
6,0,0,0,2014,12,6,49,8311.0,5.0
3,0,0,0,2013,11,13,46,6323.0,9.0
1,0,0,1,2014,12,22,52,8311.0,12.0
6,0,0,0,2014,3,1,9,5916.0,5.0
5,0,0,1,2014,10,17,42,6345.0,8.0
6,0,0,0,2013,7,13,28,6661.0,5.0
2,1,0,1,2013,8,13,33,5934.0,12.0
3,1,0,0,2015,3,4,10,6376.0,12.0
6,0,0,0,2015,3,28,13,6376.0,5.0
2,1,0,1,2014,7,29,31,6089.0,12.0
1,1,0,1,2014,4,28,18,6537.0,12.0
4,0,0,0,2013,11,14,46,6323.0,9.0
1,0,0,0,2013,5,6,19,6305.0,9.0
2,1,0,0,2015,2,17,8,5971.0,12.0
6,0,0,0,2014,2,22,8,5929.0,4.0
3,0,0,0,2013,1,30,5,5875.0,7.0
4,0,0,0,2014,1,16,3,5878.0,9.0
5,1,0,0,2014,1,10,2,5878.0,12.0
1,0,0,0,2014,3,10,11,5916.0,8.0
5,1,0,0,2014,7,4,27,6089.0,10.0
6,0,0,0,2014,4,19,16,6537.0,7.0
6,0,0,0,2015,7,4,27,6082.0,4.0
5,1,0,0,2013,1,25,4,5875.0,12.0
3,1,0,0,2014,2,5,6,5929.0,12.0
1,0,0,0,2013,9,2,36,5897.0,10.0
1,0,0,0,2015,1,19,4,6276.0,8.0
3,0,0,1,2013,1,2,1,5875.0,10.0
3,1,0,0,2013,7,3,27,6661.0,12.0
2,0,0,0,2014,3,11,11,5916.0,9.0
2,1,0,0,2015,1,27,5,6276.0,12.0
1,1,0,0,2013,5,13,20,6305.0,12.0
6,0,0,0,2014,11,8,45,7086.0,4.0
1,1,0,0,2014,2,3,6,5929.0,12.0
2,0,0,0,2015,2,10,7,5971.0,9.0
1,1,0,0,2014,4,14,16,6537.0,12.0
4,1,0,0,2014,12,18,51,8311.0,12.0
2,0,0,1,2014,8,26,35,5805.0,8.0
4,0,0,0,2014,3,13,11,5916.0,8.0
1,1,0,0,2013,9,23,39,5897.0,12.0
4,1,0,0,2015,2,19,8,5971.0,12.0
1,1,0,1,2015,2,2,6,5971.0,12.0
2,1,0,0,2015,5,19,21,6175.0,12.0
3,1,0,1,2014,8,20,34,5805.0,12.0
4,0,0,0,2013,1,31,5,5875.0,11.0
1,1,0,0,2014,6,2,23,6388.0,12.0
4,0,0,0,2014,9,11,37,6185.0,8.0
2,0,0,0,2014,12,9,50,8311.0,9.0
2,0,0,1,2014,7,22,30,6089.0,9.0
6,0,0,0,2013,4,13,15,6161.0,4.0
2,1,0,0,2014,9,30,40,6185.0,12.0
1,0,0,1,2014,10,13,42,6345.0,8.0
6,0,0,0,2014,6,21,25,6388.0,3.0
1,0,0,0,2014,1,13,3,5878.0,9.0
6,0,0,0,2014,1,4,1,5878.0,5.0
6,0,0,0,2015,1,3,1,6276.0,5.0
1,0,0,1,2014,12,29,1,8311.0,9.0
6,0,0,0,2015,1,24,4,6276.0,5.0
2,1,0,0,2014,11,11,46,7086.0,12.0
4,1,0,0,2013,11,21,47,6323.0,11.0
2,1,0,0,2014,12,2,49,8311.0,12.0
2,0,0,0,2014,6,24,26,6388.0,7.0
4,0,0,0,2013,5,23,21,6305.0,8.0
3,1,0,0,2013,4,10,15,6161.0,11.0
2,1,0,0,2015,4,14,16,6561.0,12.0
5,1,0,0,2013,3,8,10,6948.0,9.0
3,0,0,1,2013,4,3,14,6161.0,10.0
2,0,0,1,2014,10,14,42,6345.0,9.0
2,1,0,1,2013,7,30,31,6661.0,12.0
3,1,0,0,2015,3,18,12,6376.0,11.0
6,0,0,0,2014,8,2,31,5805.0,4.0
3,0,0,0,2014,1,29,5,5878.0,7.0
2,1,0,1,2013,2,19,8,5987.0,12.0
6,0,0,0,2015,5,16,20,6175.0,4.0
2,1,0,0,2014,4,1,14,6537.0,11.0
6,0,0,0,2013,2,2,5,5987.0,5.0
4,0,0,1,2013,1,3,1,5875.0,9.0
3,1,0,0,2014,9,17,38,6185.0,11.0
5,1,0,0,2013,11,22,47,6323.0,11.0
5,1,0,0,2013,12,20,51,8522.0,12.0
1,0,0,1,2014,8,25,35,5805.0,9.0
4,0,0,0,2015,5,28,22,6175.0,9.0
2,1,0,0,2015,3,3,10,6376.0,12.0
6,0,0,0,2015,6,20,25,6322.0,4.0
3,1,0,0,2014,11,5,45,7086.0,11.0
3,0,0,1,2014,12,24,52,8311.0,4.0
1,0,0,0,2013,1,28,5,5875.0,8.0
1,0,0,1,2013,10,28,44,6190.0,8.0
4,0,0,0,2015,6,11,24,6322.0,8.0
6,0,0,0,2015,3,7,10,6376.0,4.0
3,1,0,1,2015,2,4,6,5971.0,12.0
2,1,0,0,2014,6,17,25,6388.0,12.0
3,1,0,0,2014,10,22,43,6345.0,9.0
2,1,0,0,2015,6,16,25,6322.0,12.0
3,1,0,1,2014,8,6,32,5805.0,12.0
3,0,0,0,2015,5,13,20,6175.0,10.0
6,0,0,0,2013,4,20,16,6161.0,4.0
5,0,0,1,2013,4,5,14,6161.0,10.0
5,1,0,0,2015,5,22,21,6175.0,9.0
2,1,0,0,2013,1,22,4,5875.0,12.0
5,1,0,0,2013,9,27,39,5897.0,11.0
3,1,0,0,2013,12,18,51,8522.0,12.0
3,1,0,0,2013,9,25,39,5897.0,12.0
1,1,0,0,2015,5,4,19,6175.0,12.0
4,1,0,0,2014,3,6,10,5916.0,12.0
3,0,0,0,2014,4,9,15,6537.0,8.0
2,0,0,0,2013,4,16,16,6161.0,8.0
4,0,0,0,2014,6,26,26,6388.0,7.0
2,1,0,0,2014,1,21,4,5878.0,12.0
5,0,0,1,2013,7,26,30,6661.0,7.0
3,1,0,1,2014,10,8,41,6345.0,12.0
5,1,0,0,2013,9,13,37,5897.0,12.0
3,1,0,0,2014,1,8,2,5878.0,12.0
5,1,0,1,2014,2,21,8,5929.0,11.0
1,1,0,0,2013,4,22,17,6161.0,12.0
5,1,0,0,2014,7,18,29,6089.0,10.0
5,0,0,0,2013,4,19,16,6161.0,8.0
6,0,0,0,2014,10,25,43,6345.0,5.0
4,1,0,0,2013,5,2,18,6305.0,12.0
6,0,0,0,2014,7,26,30,6089.0,4.0
3,0,0,0,2015,6,24,26,6322.0,7.0
3,0,0,0,2014,2,26,9,5929.0,7.0
1,0,0,0,2014,6,23,26,6388.0,8.0
3,0,0,0,2014,11,19,47,7086.0,8.0
3,1,0,0,2014,1,22,4,5878.0,12.0
2,1,0,1,2015,2,3,6,5971.0,12.0
3,1,0,0,2013,10,9,41,6190.0,12.0
2,1,0,0,2014,11,4,45,7086.0,12.0
1,1,0,0,2013,2,4,6,5987.0,12.0
6,0,0,0,2013,3,2,9,6948.0,5.0
5,0,0,0,2013,3,15,11,6948.0,8.0
5,0,0,0,2013,11,15,46,6323.0,9.0
5,1,0,0,2013,6,21,25,5694.0,12.0
6,0,0,0,2014,10,11,41,6345.0,4.0
6,0,0,0,2014,3,15,11,5916.0,4.0
6,0,0,0,2013,8,31,35,5934.0,5.0
3,1,0,0,2014,7,2,27,6089.0,12.0
1,0,0,0,2014,12,8,50,8311.0,8.0
3,1,0,0,2013,5,15,20,6305.0,12.0
5,1,0,0,2013,5,17,20,6305.0,10.0
1,1,0,1,2013,7,15,29,6661.0,12.0
2,0,0,0,2013,6,25,26,5694.0,9.0
1,0,0,0,2013,12,9,50,8522.0,7.0
6,0,0,0,2014,8,16,33,5805.0,4.0
4,1,0,0,2013,6,20,25,5694.0,10.0
4,0,0,0,2015,6,25,26,6322.0,7.0
2,0,0,1,2014,12,23,52,8311.0,12.0
4,1,0,0,2014,3,20,12,5916.0,11.0
2,0,0,0,2013,3,12,11,6948.0,5.0
2,0,0,0,2013,9,3,36,5897.0,9.0
2,1,0,0,2014,12,16,51,8311.0,12.0
5,1,0,0,2014,6,20,25,6388.0,10.0
4,0,0,0,2014,11,20,47,7086.0,8.0
6,0,0,0,2013,12,28,52,8522.0,4.0
3,1,0,0,2013,5,29,22,6305.0,11.0
6,0,0,0,2014,8,30,35,5805.0,5.0
1,0,0,0,2013,7,8,28,6661.0,9.0
6,0,0,0,2013,11,30,48,6323.0,6.0
3,0,0,0,2015,2,11,7,5971.0,8.0
5,1,0,0,2014,6,6,23,6388.0,10.0
2,0,0,0,2013,5,21,21,6305.0,10.0
3,1,0,0,2013,12,4,49,8522.0,12.0
2,1,0,0,2013,8,27,35,5934.0,12.0
4,1,0,1,2013,7,18,29,6661.0,10.0
3,1,0,0,2014,11,26,48,7086.0,11.0
5,1,0,0,2015,1,30,5,6276.0,12.0
1,1,0,0,2014,3,3,10,5916.0,12.0
4,1,0,0,2013,12,19,51,8522.0,12.0
5,1,0,0,2015,1,16,3,6276.0,12.0
1,1,0,0,2013,4,8,15,6161.0,12.0
2,0,0,0,2015,7,7,28,6082.0,9.0
3,0,0,1,2014,8,27,35,5805.0,10.0
1,0,0,0,2015,3,23,13,6376.0,7.0
4,1,0,0,2014,11,6,45,7086.0,12.0
1,0,0,0,2013,1,14,3,5875.0,8.0
5,1,0,0,2013,8,30,35,5934.0,12.0
2,1,0,0,2013,9,24,39,5897.0,12.0
5,1,0,1,2013,2,22,8,5987.0,11.0
1,0,0,0,2013,10,14,42,6190.0,9.0
1,1,0,0,2013,3,4,10,6948.0,12.0
6,0,0,0,2014,6,14,24,6388.0,4.0
6,0,0,0,2015,4,18,16,6561.0,4.0
4,1,0,0,2015,4,16,16,6561.0,11.0
3,1,0,0,2014,9,3,36,6185.0,12.0
2,0,0,0,2015,1,20,4,6276.0,7.0
2,1,0,0,2013,3,5,10,6948.0,12.0
2,1,0,0,2013,11,5,45,6323.0,12.0
2,0,0,0,2013,2,26,9,5987.0,8.0
1,0,0,1,2013,12,30,1,8522.0,11.0
4,0,0,0,2013,9,5,36,5897.0,9.0
4,1,0,0,2014,1,9,2,5878.0,12.0
1,1,0,0,2014,9,15,38,6185.0,12.0
2,1,0,1,2014,4,29,18,6537.0,12.0
5,0,0,0,2014,6,27,26,6388.0,8.0
6,0,0,0,2015,1,17,3,6276.0,5.0
6,0,0,0,2014,7,19,29,6089.0,4.0
6,0,0,0,2014,11,29,48,7086.0,6.0
6,0,0,0,2013,8,10,32,5934.0,4.0
6,0,0,0,2014,5,24,21,5854.0,4.0
5,0,0,0,2014,9,26,39,6185.0,8.0
4,1,0,1,2015,4,2,14,6561.0,12.0
3,0,0,0,2013,5,22,21,6305.0,8.0
1,1,0,1,2013,3,25,13,6948.0,12.0
5,0,0,0,2014,2,28,9,5929.0,10.0
2,1,0,1,2014,8,5,32,5805.0,12.0
4,1,0,0,2013,5,30,22,6305.0,12.0
2,0,0,1,2014,12,30,1,8311.0,8.0
3,1,0,1,2013,7,31,31,6661.0,12.0
4,0,0,0,2013,2,28,9,5987.0,10.0
2,1,0,0,2015,1,13,3,6276.0,12.0
4,0,0,0,2014,5,15,20,5854.0,8.0
6,0,0,0,2014,4,12,15,6537.0,4.0
5,0,0,1,2014,8,15,33,5805.0,9.0
1,1,0,0,2015,2,16,8,5971.0,12.0
2,0,0,0,2015,6,23,26,6322.0,8.0
6,0,0,0,2013,7,6,27,6661.0,4.0
3,0,0,0,2013,5,8,19,6305.0,9.0
2,0,0,1,2014,8,12,33,5805.0,9.0
5,0,0,1,2013,12,27,52,8522.0,8.0
5,1,0,1,2014,5,2,18,5854.0,12.0
5,1,0,0,2015,6,19,25,6322.0,11.0
6,0,0,0,2014,11,22,47,7086.0,4.0
6,0,0,0,2015,5,2,18,6175.0,7.0
3,1,0,0,2015,7,1,27,6082.0,11.0
5,0,0,1,2014,1,3,1,5878.0,10.0
5,0,0,1,2014,7,25,30,6089.0,8.0
1,1,0,0,2013,7,1,27,6661.0,12.0
2,0,0,0,2014,6,10,24,6388.0,9.0
4,1,0,0,2015,6,18,25,6322.0,11.0
4,0,0,1,2013,8,8,32,5934.0,9.0
5,0,0,0,2015,5,29,22,6175.0,12.0
1,0,0,0,2013,11,25,48,6323.0,9.0
1,1,0,0,2013,11,4,45,6323.0,12.0
6,0,0,0,2013,2,9,6,5987.0,4.0
1,1,0,0,2013,9,9,37,5897.0,12.0
5,0,0,0,2014,1,17,3,5878.0,7.0
6,0,0,0,2014,4,5,14,6537.0,4.0
4,0,0,0,2015,4,23,17,6561.0,7.0
2,0,0,0,2013,10,1,40,6190.0,8.0
3,0,0,0,2014,1,15,3,5878.0,9.0
1,1,0,0,2013,6,17,25,5694.0,12.0
4,0,0,0,2014,2,13,7,5929.0,8.0
1,0,0,0,2013,6,24,26,5694.0,10.0
5,0,0,0,2013,5,24,21,6305.0,9.0
3,1,0,1,2013,2,20,8,5987.0,12.0
2,1,0,0,2014,9,2,36,6185.0,12.0
5,1,0,0,2014,11,7,45,7086.0,11.0
4,1,0,0,2014,7,3,27,6089.0,12.0
3,1,0,0,2013,11,6,45,6323.0,12.0
1,0,0,0,2014,7,7,28,6089.0,9.0
5,1,0,0,2013,10,11,41,6190.0,11.0
1,1,0,0,2014,6,30,27,6388.0,12.0
5,0,0,0,2015,7,10,28,6082.0,9.0
6,0,0,0,2014,3,29,13,5916.0,4.0
4,1,0,0,2015,1,29,5,6276.0,10.0
6,0,0,0,2015,4,4,14,6561.0,9.0
2,1,0,0,2013,12,17,51,8522.0,12.0
1,1,0,0,2013,11,18,47,6323.0,12.0
4,0,0,0,2014,10,30,44,6345.0,11.0
6,0,0,0,2013,8,17,33,5934.0,5.0
6,0,0,0,2013,9,7,36,5897.0,4.0
1,0,0,0,2014,3,24,13,5916.0,8.0
6,0,0,0,2013,5,4,18,6305.0,4.0
2,1,0,0,2013,12,3,49,8522.0,12.0
2,1,0,0,2014,9,16,38,6185.0,12.0
2,0,0,1,2013,12,31,1,8522.0,3.0
3,0,0,0,2014,5,14,20,5854.0,8.0
6,0,0,0,2014,9,13,37,6185.0,4.0
2,1,0,1,2014,8,19,34,5805.0,12.0
6,0,0,0,2014,12,13,50,8311.0,5.0
3,0,0,1,2014,8,13,33,5805.0,9.0
3,1,0,0,2014,4,2,14,6537.0,11.0
2,0,0,0,2013,11,12,46,6323.0,9.0
6,0,0,0,2013,1,26,4,5875.0,4.0
3,1,0,1,2013,8,14,33,5934.0,12.0
4,0,0,0,2015,2,12,7,5971.0,9.0
1,1,0,0,2015,1,26,5,6276.0,12.0
1,1,0,0,2013,6,3,23,5694.0,12.0
4,1,0,0,2013,3,7,10,6948.0,11.0
6,0,0,0,2013,1,5,1,5875.0,4.0
3,0,0,0,2015,4,22,17,6561.0,8.0
2,1,0,1,2014,10,7,41,6345.0,12.0
5,1,0,0,2015,6,5,23,6322.0,11.0
